bill_id,bill_number,title,type,date,time,location,description
1910047,HB1,Relating To Building Codes.,Hearing,2025-01-31,09:15,Conference Room 430 VIA VIDEOCONFERENCE,House Housing Hearing
1910047,HB1,Relating To Building Codes.,Hearing,2025-02-05,09:00,Conference Room 430 VIA VIDEOCONFERENCE,House Housing Decision
1933573,HB1000,Relating To Identification Processing.,Hearing,2025-02-12,14:00,Conference Room 325 VIA VIDEOCONFERENCE,House Judiciary & Hawaiian Affairs Hearing
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Hearing,2025-02-12,14:00,Conference Room 325 VIA VIDEOCONFERENCE,House Judiciary & Hawaiian Affairs Hearing
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Hearing,2025-02-25,12:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Hearing,2025-03-11,09:45,Conference Room 016 & Videoconference,Senate Judiciary Hearing
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Hearing,2025-03-18,15:01,Conference Room 016 & Videoconference,Senate Energy and Intergovernmental Affairs Hearing
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Hearing,2025-04-04,10:45,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Hearing,2025-04-17,15:46,Conference Room 325,Conference Committee Meeting
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Hearing,2025-04-21,14:05,Conference Room 325,Conference Committee Meeting
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Hearing,2025-04-22,14:05,Conference Room 325,Conference Committee Meeting
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,Hearing,2025-01-31,10:00,Conference Room 411 VIA VIDEOCONFERENCE,House Public Safety Hearing
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,Hearing,2025-02-05,08:30,,House Public Safety Hearing
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,Hearing,2025-02-05,08:30,Conference Room 411 VIA VIDEOCONFERENCE,House Public Safety Decision
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,Hearing,2025-02-12,14:00,Conference Room 325 VIA VIDEOCONFERENCE,House Judiciary & Hawaiian Affairs Hearing
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,Hearing,2025-02-24,10:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,Hearing,2025-03-12,15:00,Conference Room 225 & Videoconference,"Senate Public Safety, Intergovernmental and Military Affairs Hearing"
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,Hearing,2025-03-25,10:01,Conference Room 016 & Videoconference,Senate Judiciary Decision
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,Hearing,2025-03-27,10:40,Conference Room 016 & Videoconference,Senate Judiciary Decision
1933818,HB1004,Relating To Health Care.,Hearing,2025-02-07,08:45,Conference Room 329 VIA VIDEOCONFERENCE,House Health Hearing
1933638,HB1005,Relating To Fireworks.,Hearing,2025-02-06,14:00,Conference Room 325 VIA VIDEOCONFERENCE,House Judiciary & Hawaiian Affairs Hearing
1933369,HB1006,Relating To The Agribusiness Development Corporation.,Hearing,2025-01-31,10:00,Conference Room 325 VIA VIDEOCONFERENCE,House Agriculture Hearing
1933369,HB1006,Relating To The Agribusiness Development Corporation.,Hearing,2025-02-11,10:30,Conference Room 423 VIA VIDEOCONFERENCE,House Tourism Hearing
1933369,HB1006,Relating To The Agribusiness Development Corporation.,Hearing,2025-02-20,14:00,Conference Room 325 VIA VIDEOCONFERENCE,House Judiciary & Hawaiian Affairs Hearing
1933369,HB1006,Relating To The Agribusiness Development Corporation.,Hearing,2025-03-20,13:00,Conference Room 229 & Videoconference,Senate Economic Development and Technology Hearing
1933369,HB1006,Relating To The Agribusiness Development Corporation.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Hearing,2025-01-30,09:00,Conference Room 411 VIA VIDEOCONFERENCE,House Water & Land Hearing
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Hearing,2025-02-12,14:00,Conference Room 325 VIA VIDEOCONFERENCE,House Judiciary & Hawaiian Affairs Hearing
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Hearing,2025-02-24,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Hearing,2025-03-18,15:00,Conference Room 224 & Videoconference,Senate Transportation and Culture and the Arts Hearing
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Hearing,2025-03-20,15:02,Conference Room 224 & Videoconference,Senate Transportation and Culture and the Arts Hearing
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Hearing,2025-03-28,10:02,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Hearing,2025-04-01,10:03,Conference Room 211 & Videoconference,Senate Ways and Means Hearing
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Hearing,2025-04-03,10:02,CR 211 & Videoconference,Senate Ways and Means Hearing
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Hearing,2025-04-25,09:00,Conference Room 229,Conference Committee Meeting
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,Hearing,2025-01-31,09:15,Conference Room 430 VIA VIDEOCONFERENCE,House Housing Hearing
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,Hearing,2025-02-11,10:00,Conference Room 411 VIA VIDEOCONFERENCE,House Water & Land Hearing
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,Hearing,2025-02-26,14:00,Conference Room 325 VIA VIDEOCONFERENCE,House Judiciary & Hawaiian Affairs Hearing
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,Hearing,2025-02-07,09:00,Conference Room 430 VIA VIDEOCONFERENCE,House Housing Hearing
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,Hearing,2025-02-25,10:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933377,HB1013,Relating To Important Agricultural Lands.,Hearing,2025-02-05,09:00,Conference Room 430 VIA VIDEOCONFERENCE,House Housing Hearing
1933377,HB1013,Relating To Important Agricultural Lands.,Hearing,2025-02-12,11:00,Conference Room 325 VIA VIDEOCONFERENCE,House Agriculture Hearing
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,Hearing,2025-02-06,09:00,Conference Room 325 VIA VIDEOCONFERENCE,House Energy & Environmental Protection Hearing
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,Hearing,2025-02-20,12:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,Hearing,2025-03-11,15:02,Conference Room 016 & Videoconference,Senate Energy and Intergovernmental Affairs Hearing
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,Hearing,2025-04-03,10:01,Conference Room 016 & Videoconference,Senate Judiciary Decision
1933569,HB1019,Relating To Long Duration Clean Energy Storage.,Hearing,2025-02-06,09:00,Conference Room 325 VIA VIDEOCONFERENCE,House Energy & Environmental Protection Hearing
1916765,HB102,Relating To Transportation.,Hearing,2025-02-06,10:00,Conference Room 430 VIA VIDEOCONFERENCE,House Transportation Hearing
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,Hearing,2025-02-04,09:00,Conference Room 325 VIA VIDEOCONFERENCE,House Energy & Environmental Protection Hearing
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,Hearing,2025-02-20,12:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,Hearing,2025-03-11,15:00,Conference Room 016 & Videoconference,Senate Energy and Intergovernmental Affairs Hearing
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,Hearing,2025-03-31,10:02,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,Hearing,2025-04-25,11:15,Conference Room 325,Conference Committee Meeting
1933538,HB1022,Relating To Energy Industry Information Reporting.,Hearing,2025-02-06,09:00,Conference Room 325 VIA VIDEOCONFERENCE,House Energy & Environmental Protection Hearing
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.",Hearing,2025-02-07,10:00,Conference Room 309 VIA VIDEOCONFERENCE,House Culture & Arts Hearing
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.",Hearing,2025-02-20,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,Hearing,2025-03-12,15:00,Conference Room 224 & Videoconference,Senate Labor and Technology Hearing
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,Hearing,2025-04-25,10:01,Conference Room 016,Conference Committee Meeting
1933423,HB1027,Relating To Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933423,HB1027,Relating To Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933423,HB1027,Relating To Public Employment Cost Items.,Hearing,2025-03-12,15:00,Conference Room 224 & Videoconference,Senate Labor and Technology Hearing
1933423,HB1027,Relating To Public Employment Cost Items.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933423,HB1027,Relating To Public Employment Cost Items.,Hearing,2025-04-25,10:01,Conference Room 016,Conference Committee Meeting
1933805,HB1028,Relating To Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933805,HB1028,Relating To Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933805,HB1028,Relating To Public Employment Cost Items.,Hearing,2025-03-12,15:00,Conference Room 224 & Videoconference,Senate Labor and Technology Hearing
1933805,HB1028,Relating To Public Employment Cost Items.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933805,HB1028,Relating To Public Employment Cost Items.,Hearing,2025-04-25,10:01,Conference Room 016,Conference Committee Meeting
1933574,HB1029,Relating To Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933574,HB1029,Relating To Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933574,HB1029,Relating To Public Employment Cost Items.,Hearing,2025-03-12,15:00,Conference Room 224 & Videoconference,Senate Labor and Technology Hearing
1933574,HB1029,Relating To Public Employment Cost Items.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933574,HB1029,Relating To Public Employment Cost Items.,Hearing,2025-04-25,10:01,Conference Room 016,Conference Committee Meeting
1916770,HB103,Relating To Sentencing.,Hearing,2025-02-07,14:05,Conference Room 325 VIA VIDEOCONFERENCE,House Judiciary & Hawaiian Affairs Hearing
1916770,HB103,Relating To Sentencing.,Hearing,2025-03-11,09:45,Conference Room 016 & Videoconference,Senate Judiciary Hearing
1916770,HB103,Relating To Sentencing.,Hearing,2025-04-23,14:10,Conference Room 325,Conference Committee Meeting
1933472,HB1030,Relating To Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933472,HB1030,Relating To Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933472,HB1030,Relating To Public Employment Cost Items.,Hearing,2025-03-12,15:00,Conference Room 224 & Videoconference,Senate Labor and Technology Hearing
1933472,HB1030,Relating To Public Employment Cost Items.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933472,HB1030,Relating To Public Employment Cost Items.,Hearing,2025-04-25,10:01,Conference Room 016,Conference Committee Meeting
1933508,HB1031,Relating To Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933508,HB1031,Relating To Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933508,HB1031,Relating To Public Employment Cost Items.,Hearing,2025-03-12,15:00,Conference Room 224 & Videoconference,Senate Labor and Technology Hearing
1933508,HB1031,Relating To Public Employment Cost Items.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933508,HB1031,Relating To Public Employment Cost Items.,Hearing,2025-04-22,10:00,Conference Room 016,Conference Committee Meeting
1933508,HB1031,Relating To Public Employment Cost Items.,Hearing,2025-04-23,10:01,Conference Room 016,Conference Committee Meeting
1933508,HB1031,Relating To Public Employment Cost Items.,Hearing,2025-04-24,10:00,Conference Room 016,Conference Committee Meeting
1933546,HB1032,Relating To Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933546,HB1032,Relating To Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933546,HB1032,Relating To Public Employment Cost Items.,Hearing,2025-03-12,15:00,Conference Room 224 & Videoconference,Senate Labor and Technology Hearing
1933546,HB1032,Relating To Public Employment Cost Items.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933546,HB1032,Relating To Public Employment Cost Items.,Hearing,2025-04-25,10:01,Conference Room 016,Conference Committee Meeting
1933828,HB1033,Relating To Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933828,HB1033,Relating To Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933828,HB1033,Relating To Public Employment Cost Items.,Hearing,2025-03-12,15:00,Conference Room 224 & Videoconference,Senate Labor and Technology Hearing
1933828,HB1033,Relating To Public Employment Cost Items.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933828,HB1033,Relating To Public Employment Cost Items.,Hearing,2025-04-22,10:00,Conference Room 016,Conference Committee Meeting
1933828,HB1033,Relating To Public Employment Cost Items.,Hearing,2025-04-23,10:01,Conference Room 016,Conference Committee Meeting
1933828,HB1033,Relating To Public Employment Cost Items.,Hearing,2025-04-24,10:00,Conference Room 016,Conference Committee Meeting
1933730,HB1034,Relating To Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933730,HB1034,Relating To Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
1933730,HB1034,Relating To Public Employment Cost Items.,Hearing,2025-03-12,15:00,Conference Room 224 & Videoconference,Senate Labor and Technology Hearing
1933730,HB1034,Relating To Public Employment Cost Items.,Hearing,2025-04-01,10:01,Conference Room 211 & Videoconference,Senate Ways and Means Decision
1933730,HB1034,Relating To Public Employment Cost Items.,Hearing,2025-04-25,10:01,Conference Room 016,Conference Committee Meeting
1933717,HB1035,Relating To Public Employment Cost Items.,Hearing,2025-02-04,09:00,Conference Room 309 VIA VIDEOCONFERENCE,House Labor & Public Employment Hearing
1933717,HB1035,Relating To Public Employment Cost Items.,Hearing,2025-02-19,14:00,Conference Room 308 VIA VIDEOCONFERENCE,House Finance Hearing
