bill_id,bill_number,title,description,state,subject,companion,relevant,session,filename,status,status_date,source,chat,url_final_text,url_initial_text
1910047,HB1,Relating To Building Codes.,Amends responsibilities of the State Building Code Council.,HI,"State Building Code Council, Duties, Recommendations, Analysis",SB120,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1.json,Introduced,2025-01-16,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1_.HTM
1910029,HB10,Relating To Taxation.,Excludes from the offense of unlawful shipment of tobacco products the direct sale of large cigars and pipe tobacco to adult consumers for personal use. Effective 1/1/2026.,HI,"Taxation, Large Cigars, Pipe Tobacco, Unlawful Shipment of Tobacco Products, Direct Sale, Personal Use, Exemption",,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB10.json,Introduced,2025-01-16,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=10&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB10_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB10_.HTM
1916715,HB100,Relating To Media Literacy.,"Authorizes school complexes to incorporate media literacy in their standards-based curriculum, including content that prevents negative impacts of misinformation, disinformation, digital discrimination, and online hate speech.",HI,"Standard-based Curriculum, Digital Citizenship, Public Schools, Media Literacy","SB772, SB844",,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB100.json,Introduced,2025-01-16,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=100&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB100_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB100_.HTM
1933573,HB1000,Relating To Identification Processing.,"Requires that the Attorney General's identification system include criminal cases initiated via citations that resulted in conviction, deferred acceptance of guilty or nolo contendere plea, or conditional discharge, and that a court order identification processing in such cases.",HI,"Attorney General, Hawaii Criminal Justice Data Center, Identification Processing",SB1319,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1000.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1000&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1000_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1000_.HTM
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,Establishes the Maui Wildfires Settlement Trust Fund to be administered by the Attorney General. Appropriates funds to fund the settlement of claims related to the 2023 Maui wildfires. (CD1),HI,"Appropriations ($), Maui Wildfires Settlement Trust Fund, Establishment",SB1320,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1001.json,Passed,2025-07-08,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1001&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1001_CD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1001_.HTM
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,"Beginning July 1, 2025, extends the term of the Oversight Coordinator for the Hawaii Correctional System Oversight Commission. Authorizes the Hawaii Correctional System Commission to review the Coordinator's performance and make a recommendation to the Governor as to whether the Coordinator should be retained. Clarifies that the Oversight Coordinator has the general authority to inspect agencies and correctional facilities without notice. (SD1)",HI,"Hawaii Correctional System Oversight Commission, Oversight Coordinator",SB1321,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1002.json,Passed,2025-06-30,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1002&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1002_SD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1002_.HTM
1933821,HB1003,Relating To Mental Health.,"Clarifies and expands the circumstances and procedures available for emergency transportation, examination, and hospitalization under chapter 334. Provides limits on liability for state and local governments and professionals during mental health emergency procedures while performing their duties in the course of employment. Expands the notice requirements for an emergency hospitalization to include an individual's health-care surrogate and clarifies when notice to family members can be waived. Removes the authority of the family court to appoint a legal guardian in a proceeding for involuntary hospitalization. Removes the requirement that psychiatric facilities wait for a response on a notice of intent to discharge an involuntary hospitalization patient prior to discharge. Clarifies the circumstances under which a subject of an order for assisted community treatment can be administered medication over the subject's objection. Provides limits on liability for an assisted community treatment provider. Modifies the administrative authorization of medical treatment over the patient's objection to be reviewed by a single decision-maker who is a psychiatrist.",HI,"Mental Health, Admission to Psychiatric Facility, Emergency Transportation, Emergency Examination, Emergency Hospitalization, Involuntary Hospitalization, Assisted Community Treatment, Administration of Treatment Over the Patient's Objection, Limited Liability, Confidentiality",SB1322,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1003.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1003&year=2025,,,
1933818,HB1004,Relating To Health Care.,"Adopts the Uniform Health Care Decisions Act (2023), as modified, to replace chapters 327E and 327G, HRS. Effective 7/1/3000. (HD1)",HI,"Uniform Health Care Decisions Act (Modified), Advance Health Care Directives, Advance Mental Health Care Directives",SB1323,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1004.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1004&year=2025,,,
1933638,HB1005,Relating To Fireworks.,"Amends multiple definitions and penalties for fireworks offenses, including heightened penalties if another person suffers substantial bodily injury, serious bodily injury, or death as a result of the fireworks offenses. Establishes criminal offenses of general fireworks or articles pyrotechnic prohibitions in the first and second degree; sending or receiving fireworks or articles pyrotechnic by air delivery; distributing fireworks or articles pyrotechnic to non-permit holder; removal or extraction of pyrotechnic contents; consumer fireworks prohibitions; refusal to provide identification; and violating requirements of carrier. Establishes an adjudication system and procedures to process fireworks infractions; makes an appropriation.",HI,"Fireworks, Criminal Offenses, Penalties, Infractions ($)",SB1324,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1005.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1005&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1005_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1005_.HTM
1933369,HB1006,Relating To The Agribusiness Development Corporation.,"Includes agricultural tourism in the definition of ""enterprise"" to authorize the Agribusiness Development Corporation to financially support farming businesses engaged in agricultural tourism. Transfers the Agricultural Development Division of the Department of Agriculture to the Agribusiness Development Corporation. Effective 7/1/3000. (SD1)",HI,"Enterprise, Definition, Agricultural Tourism, ADC, DOA, Agricultural Development Division, Transfer",SB1325,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1006.json,Engrossed,2025-03-04,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1006&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1006_SD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1006_.HTM
