bill_id,bill_number,title,date,event
1910047,HB1,Relating To Building Codes.,2025-01-16,Introduced
1910047,HB1,Relating To Building Codes.,2025-01-21,Committee Referral
1910029,HB10,Relating To Taxation.,2025-01-16,Introduced
1910029,HB10,Relating To Taxation.,2025-01-21,Committee Referral
1916715,HB100,Relating To Media Literacy.,2025-01-16,Introduced
1916715,HB100,Relating To Media Literacy.,2025-01-21,Committee Referral
1933573,HB1000,Relating To Identification Processing.,2025-01-23,Introduced
1933573,HB1000,Relating To Identification Processing.,2025-01-23,Committee Referral
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-01-23,Introduced
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-01-23,Committee Referral
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-02-14,Committee Report Pass
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-02-14,Committee Referral
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-02-28,Committee Report Pass
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-02-28,Engrossed
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-03-04,Committee Referral
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-03-10,Committee Referral
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-03-11,Committee Referral
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-03-14,Committee Report Pass
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-03-14,Committee Referral
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-03-21,Committee Report Pass
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-03-21,Committee Referral
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-04-04,Committee Report Pass
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-04-25,Committee Report Pass
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-04-25,Committee Report Pass
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-05-01,Enrolled
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-07-08,Chapter/Act/Statute
1933812,HB1001,Relating To Settlement Of Claims Related To The Maui Wildfires.,2025-07-08,Passed
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-01-23,Introduced
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-01-23,Committee Referral
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-02-06,Committee Report Pass
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-02-06,Committee Referral
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-02-14,Committee Report Pass
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-02-14,Committee Referral
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-02-28,Committee Report Pass
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-02-28,Engrossed
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-03-04,Committee Referral
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-03-18,Committee Report Pass
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-03-18,Committee Referral
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-04-03,Committee Report Pass
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-04-22,Enrolled
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-06-30,Chapter/Act/Statute
1933466,HB1002,Relating To The Hawaii Correctional System Oversight Commission.,2025-06-30,Passed
1933821,HB1003,Relating To Mental Health.,2025-01-23,Introduced
1933821,HB1003,Relating To Mental Health.,2025-01-23,Committee Referral
1933818,HB1004,Relating To Health Care.,2025-01-23,Introduced
1933818,HB1004,Relating To Health Care.,2025-01-23,Committee Referral
1933818,HB1004,Relating To Health Care.,2025-02-12,Committee Report Pass
1933818,HB1004,Relating To Health Care.,2025-02-12,Committee Referral
1933638,HB1005,Relating To Fireworks.,2025-01-23,Introduced
1933638,HB1005,Relating To Fireworks.,2025-01-23,Committee Referral
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-01-23,Introduced
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-01-23,Committee Referral
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-02-04,Committee Report Pass
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-02-04,Committee Referral
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-02-12,Committee Report Pass
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-02-12,Committee Referral
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-02-28,Committee Report Pass
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-03-04,Engrossed
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-03-06,Committee Referral
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-03-21,Committee Report Pass
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-03-21,Committee Referral
